juris_id,ecozone,canfi_species,genus,species,variety,a,b,k,cap,volm,count,rmse
AB,5,200,PINU,SPP,,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,5,203,PINU,BAN,,14.5087589050,-1.0432406770,0.9305086259,4.548556252,228.61569283,12,0.0538285134
AB,5,204,PINU,CON,LAT,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,5,204,PINU,CON,,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,5,216,PINU,MUR,,23.1808308510,-0.8551442610,0.7492695982,7.3114374715999997,643.08305851,33,0.056542159299999999
AB,5,300,ABIE,SPP,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,5,302,ABIE,BAL,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,5,500,PSEU,MEN,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,5,500,PSEU,MEN,MEN,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,5,500,PSEU,MEN,GLA,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,5,500,PSEU,SPP,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,5,600,LARI,SPP,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,5,601,LARI,DEC,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,5,602,LARI,LAR,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,5,1200,POPU,SPP,,8.7372930301,-0.6627437330,0.7158536827,4.1107421990999997,802.89670489000002,33,0.084227220899999997
AB,5,1201,POPU,TRE,,8.7372930301,-0.6627437330,0.7158536827,4.1107421990999997,802.89670489000002,33,0.084227220899999997
AB,5,1203,POPU,BAL,BAL,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,5,1203,POPU,BAL,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,5,1204,POPU,TRI,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,5,1205,POPU,DEL,DEL,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,5,1205,POPU,DEL,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,5,1214,POPU,AGU,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,5,1303,BETU,PAP,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,5,1303,BETU,PAP,PAP,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,6,100,PICE,SPP,,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
AB,6,101,PICE,MAR,,11.6577938360,-0.4934737450,0.0607439165,5.2418972533000003,392.98012476000002,20,0.073004787500000001
AB,6,105,PICE,GLA,,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
AB,6,200,PINU,SPP,,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,6,203,PINU,BAN,,14.5087589050,-1.0432406770,0.9305086259,4.548556252,228.61569283,12,0.0538285134
AB,6,204,PINU,CON,LAT,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,6,204,PINU,CON,,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,6,216,PINU,MUR,,23.1808308510,-0.8551442610,0.7492695982,7.3114374715999997,643.08305851,33,0.056542159299999999
AB,6,300,ABIE,SPP,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,6,302,ABIE,BAL,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,6,500,PSEU,MEN,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,6,500,PSEU,MEN,GLA,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,6,500,PSEU,MEN,MEN,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,6,500,PSEU,SPP,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,6,600,LARI,SPP,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,6,601,LARI,DEC,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,6,602,LARI,LAR,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,6,1200,POPU,SPP,,8.7372930301,-0.6627437330,0.7158536827,4.1107421990999997,802.89670489000002,33,0.084227220899999997
AB,6,1201,POPU,TRE,,8.7372930301,-0.6627437330,0.7158536827,4.1107421990999997,802.89670489000002,33,0.084227220899999997
AB,6,1203,POPU,BAL,BAL,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,6,1203,POPU,BAL,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,6,1204,POPU,TRI,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,6,1205,POPU,DEL,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,6,1205,POPU,DEL,DEL,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,6,1214,POPU,AGU,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,6,1303,BETU,PAP,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,6,1303,BETU,PAP,PAP,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,9,100,PICE,SPP,,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
AB,9,101,PICE,MAR,,11.6577938360,-0.4934737450,0.0607439165,5.2418972533000003,392.98012476000002,20,0.073004787500000001
AB,9,104,PICE,ENG,GLA,1.2379278978,-0.0327418710,0.0000000100,1.0912938108000001,344.45976567000002,11,0.012592994499999999
AB,9,104,PICE,ENG,,1.2379278978,-0.0327418710,0.0000000100,1.0912938108000001,344.45976567000002,11,0.012592994499999999
AB,9,105,PICE,GLA,,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
AB,9,109,PICE,SPP,,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
AB,9,200,PINU,SPP,,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,9,203,PINU,BAN,,14.5087589050,-1.0432406770,0.9305086259,4.548556252,228.61569283,12,0.0538285134
AB,9,204,PINU,CON,,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,9,204,PINU,CON,LAT,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,9,206,PINU,ALB,,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,9,216,PINU,MUR,,23.1808308510,-0.8551442610,0.7492695982,7.3114374715999997,643.08305851,33,0.056542159299999999
AB,9,300,ABIE,SPP,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,9,302,ABIE,BAL,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,9,304,ABIE,LAS,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,9,305,ABIE,MX2,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,9,306,ABIE,MIX,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,9,500,PSEU,MEN,MEN,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,9,500,PSEU,MEN,GLA,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,9,500,PSEU,MEN,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,9,500,PSEU,SPP,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,9,600,LARI,SPP,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,9,601,LARI,DEC,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,9,602,LARI,LAR,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,9,603,LARI,OCC,,10.7449890830,-0.4630113300,0.1744027789,4.3921293664999999,795.06432588999996,34,0.16349037990000001
AB,9,604,LARI,LYA,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,9,1150,UNKN,SPP,,15.2853026170,-0.7251167960,0.6564656383,5.6783869872999997,658.35024884999996,33,0.077327055000000006
AB,9,1200,POPU,SPP,,8.7372930301,-0.6627437330,0.7158536827,4.1107421990999997,802.89670489000002,33,0.084227220899999997
AB,9,1201,POPU,TRE,,8.7372930301,-0.6627437330,0.7158536827,4.1107421990999997,802.89670489000002,33,0.084227220899999997
AB,9,1203,POPU,BAL,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,9,1203,POPU,BAL,BAL,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,9,1204,POPU,TRI,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,9,1205,POPU,DEL,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,9,1205,POPU,DEL,DEL,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,9,1214,POPU,AGU,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,9,1303,BETU,PAP,PAP,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,9,1303,BETU,PAP,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,9,1404,ACER,NEG,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,9,1500,GENH,SPP,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,9,1550,GENH,SPP,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,9,3500,SALI,SPP,,22.6136505760,-1.2739991780,0.9814423067,1.9960006079999999,496.33000000999999,23,0.0134739097
AB,9,3508,SALI,DIS,,22.6136505760,-1.2739991780,0.9814423067,1.9960006079999999,496.33000000999999,23,0.0134739097
AB,10,100,PICE,SPP,,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
AB,10,101,PICE,MAR,,11.6577938360,-0.4934737450,0.0607439165,5.2418972533000003,392.98012476000002,20,0.073004787500000001
AB,10,104,PICE,ENG,GLA,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
AB,10,104,PICE,ENG,,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
AB,10,105,PICE,GLA,,1.2877105535,-0.0428992640,0.0000000100,1.2288791160000001,658.35024884999996,32,0.051234240799999997
AB,10,200,PINU,SPP,,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,10,203,PINU,BAN,,14.5087589050,-1.0432406770,0.9305086259,4.548556252,228.61569283,12,0.0538285134
AB,10,204,PINU,CON,LAT,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,10,204,PINU,CON,,24.1275183840,-0.8225858860,0.6795653135,7.7179642720999997,643.08305851,33,0.080801377600000002
AB,10,213,PINU,FLE,,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,10,216,PINU,MUR,,23.1808308510,-0.8551442610,0.7492695982,7.3114374715999997,643.08305851,33,0.056542159299999999
AB,10,300,ABIE,SPP,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,10,302,ABIE,BAL,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,10,304,ABIE,LAS,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,10,500,PSEU,MEN,MEN,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,10,500,PSEU,MEN,GLA,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,10,500,PSEU,MEN,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,10,500,PSEU,SPP,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,10,600,LARI,SPP,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,10,602,LARI,LAR,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,10,604,LARI,LYA,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,10,1150,UNKN,SPP,,15.2853026170,-0.7251167960,0.6564656383,5.6783869872999997,658.35024884999996,33,0.077327055000000006
AB,10,1200,POPU,SPP,,8.7372930301,-0.6627437330,0.7158536827,4.1107421990999997,802.89670489000002,33,0.084227220899999997
AB,10,1201,POPU,TRE,,8.7372930301,-0.6627437330,0.7158536827,4.1107421990999997,802.89670489000002,33,0.084227220899999997
AB,10,1203,POPU,BAL,BAL,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,10,1203,POPU,BAL,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,10,1204,POPU,TRI,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,10,1205,POPU,DEL,DEL,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,10,1205,POPU,DEL,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,10,1214,POPU,AGU,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,10,1303,BETU,PAP,PAP,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,10,1303,BETU,PAP,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,10,1404,ACER,NEG,,8.2092866390,-0.9376040840,0.9441136339,2.1757055542999999,509.08999999999997,24,0.025335703599999999
AB,10,1550,GENH,SPP,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,10,3500,SALI,SPP,,22.6136505760,-1.2739991780,0.9814423067,1.9960006079999999,496.33000000999999,23,0.0134739097
AB,10,3508,SALI,DIS,,22.6136505760,-1.2739991780,0.9814423067,1.9960006079999999,496.33000000999999,23,0.0134739097
AB,14,100,PICE,SPP,,95.0252766250,-1.4354523510,0.9417504845,1.3923992490999999,588.99654381000005,18,0.022877549899999999
AB,14,101,PICE,MAR,,11.6577938360,-0.4934737450,0.0607439165,5.2418972533000003,392.98012476000002,20,0.073004787500000001
AB,14,104,PICE,ENG,,95.0252766250,-1.4354523510,0.9417504845,1.3923992490999999,588.99654381000005,18,0.022877549899999999
AB,14,104,PICE,ENG,GLA,95.0252766250,-1.4354523510,0.9417504845,1.3923992490999999,588.99654381000005,18,0.022877549899999999
AB,14,105,PICE,GLA,,95.0252766250,-1.4354523510,0.9417504845,1.3923992490999999,588.99654381000005,18,0.022877549899999999
AB,14,109,PICE,SPP,,95.0252766250,-1.4354523510,0.9417504845,1.3923992490999999,588.99654381000005,18,0.022877549899999999
AB,14,200,PINU,SPP,,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,14,201,PINU,MON,,1.4902992256,-0.0000000100,0.0000000100,1.4902992067,1504.6814376,5,0.39486304290000002
AB,14,203,PINU,BAN,,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,14,204,PINU,CON,,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,14,204,PINU,CON,LAT,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,14,206,PINU,ALB,,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,14,213,PINU,FLE,,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,14,216,PINU,MUR,,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,14,217,PINU,ALB,FLE,14.3032403560,-0.6298805800,0.3984527681,5.4123235992999996,377.89513718000001,19,0.098253807999999998
AB,14,300,ABIE,SPP,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,14,302,ABIE,BAL,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,14,304,ABIE,LAS,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,14,306,ABIE,MIX,,1.3500229781,-0.0572470490,0.0000000100,1.2868662934999999,423.80330269000001,19,0.076051306599999993
AB,14,402,TSUG,HET,,11.4884150380,-0.6368615240,0.7089974287,5.0126293064,2781.2295939000001,46,0.1345308569
AB,14,500,PSEU,MEN,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,14,500,PSEU,MEN,GLA,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,14,500,PSEU,MEN,MEN,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,14,500,PSEU,SPP,,4.6939618767,-0.6246152360,0.8207506994,1.1935257787,477.87548132000001,12,0.025220642200000001
AB,14,600,LARI,SPP,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,14,602,LARI,LAR,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,14,603,LARI,OCC,,10.7449890830,-0.4630113300,0.1744027789,4.3921293664999999,795.06432588999996,34,0.16349037990000001
AB,14,604,LARI,LYA,,2.4231023081,-0.5274697780,0.9455645849,2.0186454098,199.53544905999999,8,0.057314430600000001
AB,14,702,THUJ,PLI,,4.4761010347,-0.6653653480,0.9374459254,3.0884774153999999,5154.3458715999996,54,0.1187294783
AB,14,1150,UNKN,SPP,,14.8630119920,-0.6591373940,0.4668389940,5.4293269864999996,588.99654381000005,24,0.096526126099999998
AB,14,1200,POPU,SPP,,31.6147834340,-0.9295722140,0.5035654706,4.8645161914999999,343.34153687999998,11,0.27609099040000001
AB,14,1201,POPU,TRE,,31.6147834340,-0.9295722140,0.5035654706,4.8645161914999999,343.34153687999998,11,0.27609099040000001
AB,14,1203,POPU,BAL,BAL,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,14,1203,POPU,BAL,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,14,1204,POPU,TRI,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,14,1205,POPU,DEL,DEL,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,14,1205,POPU,DEL,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,14,1214,POPU,AGU,,1.6864362939,-0.1042934880,0.0000000100,1.5402607704,504.07910798,24,0.1176998073
AB,14,1303,BETU,PAP,PAP,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,14,1303,BETU,PAP,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,14,1404,ACER,NEG,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,14,1550,GENH,SPP,,24.7824259410,-0.7786517840,0.2688077901,2.9193162287000001,217.08427506999999,6,0.2030558509
AB,14,3500,SALI,SPP,,39.1098850280,-1.0961667050,1.0395380127,10,187.50573097,6,0.5531057976
BC,4,100,PICE,SPP,,15.0648636250,-1.0720760040,1.0569739943,5.1694150465000002,762.59457018000001,23,0.21022937489999999
BC,4,101,PICE,MAR,,78.9413498050,-1.1486133660,1.0090600029,8.7870935795000005,257.35412127000001,9,0.38979635159999998
BC,4,104,PICE,ENG,,15.0648636250,-1.0720760040,1.0569739943,5.1694150465000002,762.59457018000001,23,0.21022937489999999
BC,4,104,PICE,ENG,GLA,15.0648636250,-1.0720760040,1.0569739943,5.1694150465000002,762.59457018000001,23,0.21022937489999999
BC,4,105,PICE,GLA,,15.0648636250,-1.0720760040,1.0569739943,5.1694150465000002,762.59457018000001,23,0.21022937489999999
BC,4,111,PICE,LUT,,15.0648636250,-1.0720760040,1.0569739943,5.1694150465000002,762.59457018000001,23,0.21022937489999999
BC,4,111,PICE,LUT,X,15.0648636250,-1.0720760040,1.0569739943,5.1694150465000002,762.59457018000001,23,0.21022937489999999
BC,4,200,PINU,SPP,,20.6036969980,-0.5861693050,0.0000000099,5.5672784776000004,568.79515544000003,9,0.55118936490000003
BC,4,203,PINU,BAN,,20.6036969980,-0.5861693050,0.0000000099,5.5672784776000004,568.79515544000003,9,0.55118936490000003
